Avatar,Creator Name,Creator Instagram Handle,Follower Count,Median Views,Reach efficiency
Anchie Ama,drtristha,https://www.instagram.com/drtristha/,"32,000","9,846",30.8
Anchie Ama,Kriti S Gupta,https://www.instagram.com/explorewithmommy/,"145,000","25,900",17.9
Anchie Ama,Rama Yadav,https://www.instagram.com/momofdiyan/,"103,000","27,826",27.0
Anchie Ama,Lauren Mejia,https://www.instagram.com/motherhood.and.montessori/,"715,000","116,794",16.3
Anchie Ama,DANNAH EVE,https://www.instagram.com/dannah_eve/,"2,700,000","532,626",19.7
Anchie Ama,Ambika Agarwal,https://www.instagram.com/true_parenting_story/,"1,700,000","110,173",6.5
Anchie Ama,Arpita Axay Pithava,https://www.instagram.com/firsttimemom.official/,"532,000","76,510",14.4
Anchie Ama,3mguru,https://www.instagram.com/3mguru/reels/,"16,400","1,946",11.9
Anchie Ama,Mikita,https://www.instagram.com/moneyforkids/,"2,119",699,33.0
Anchie Ama,Anishkaa Malpani,https://www.instagram.com/anishkaa_malpani/,"7,106","1,189",16.7
Anchie Ama,Ankita B Chandak,https://www.instagram.com/followyourchild/,"517,000","63,819",12.3
Anchie Ama,Ishinna B. Sadana,https://www.instagram.com/ishinna_b_sadana/,"1,300,000","207,066",15.9
Anchie Ama,Parent Wisdom,https://www.instagram.com/parent.wisdom/,"200,000","57,636",28.8
Anchie Ama,Vishruti Shah,https://www.instagram.com/vishruti_shah_unschooling/,"434,000","133,722",30.8
Anchie Ama,ParulYadav,https://www.instagram.com/the.corporate.momm/,"7,562",632,8.4
Anchie Ama,Gigi,https://www.instagram.com/mom.ma.g/,"1,000,000","194,233",19.4
Anchie Ama,Payal V. Narang,https://www.instagram.com/playfulparenthood/,"467,000","99,594",21.3
Anchie Ama,Sangeetha,https://www.instagram.com/sangeetharofficial/,"136,000","15,481",11.4
Anchie Ama,Dr. Gaayatri Rathod,https://www.instagram.com/psychiatrist.mom/,"78,000","7,460",9.6
Anchie Ama,Supriya Malpani,https://www.instagram.com/parentingclassroom/,"16,200","1,623",10.0
Anchie Ama,Swati Goyal,https://www.instagram.com/iamswatigoyal_/,"315,000","80,197",25.5
Anchie Ama,Hollie Mayes,https://www.instagram.com/hollie_mayes/,"40,200","4,207",10.5
Anchie Ama,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/,"21,900","6,328",28.9
Anchie Ama,Manita Jain,https://www.instagram.com/babyobooks/,"3,612",520,14.4
Anchie Ama,Meg Rogerson,https://www.instagram.com/meg.rogerson_author/,"17,300","5,624",32.5
Anchie Ama,Shivani Kapoor,https://www.instagram.com/cafeparent/,"35,300","2,492",7.1
Anchie Ama,Shweta Gandhi,https://www.instagram.com/schweta.happyminds/,"893,000","181,019",20.3
Anchie Ama,Dr Medhat Abu Shaaban,https://www.instagram.com/doctormedhat/,"233,000","52,874",22.7
Anchie Ama,Scott Donnell,https://www.instagram.com/imscottdonnell/,"220,000","23,967",10.9
Anchie Ama,Aditi K,https://www.instagram.com/this.mamas.diary/,"2,901",535,18.4
